There were 22762 Peaks found from m/z=   168.97    to m/z=   914.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE ION MODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise threshold: 0.011372        Peak threshold: 0.016245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration parameters: A = 144218504.692816 , B = -434117778.324974 and Trap Plate Voltage = -1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center of Mass for the Assigned Window is   497.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 There were ,11328 odd peaks, and ,11434 even peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula,,,,,,,,,,,,,,,,,
9318,514.28319,0.0471,833090.84,513.709,514,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9319,542.31458,0.046,808393.09,541.7091,542,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9320,556.33022,0.0477,702843.27,555.709,556,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9321,570.34572,0.0418,520812.25,569.7089,570,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9322,584.36148,0.0423,666801.35,583.709,584,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9323,598.37719,0.0462,713455,597.7091,598,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9324,612.39274,0.0476,664912.95,611.709,612,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9325,626.40855,0.0427,577336.88,625.7091,626,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9326,640.42417,0.0442,681298.73,639.7091,640,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9327,654.43985,0.0388,616958.91,653.7091,654,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9328,668.45554,0.04,651941.58,667.7092,668,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9329,682.47111,0.0417,600572.28,681.7091,682,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9330,696.48675,0.0433,527202.3,695.7091,696,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9331,738.5338,0.043,543970.14,737.7092,738,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9332,752.54937,0.0425,538786.42,751.7091,752,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9333,794.59632,0.0425,455450.27,793.7091,794,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9334,808.61189,0.0478,434594.73,807.709,808,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9335,892.70577,0.0457,452901.03,891.709,892,1,-4,291,2143,0,,,No Hit,,,,,,,,,,,,,,,,,
9336,808.71719,0.0529,146063.28,807.8142,808,1,-4,186,2144,0,,,No Hit,,,,,,,,,,,,,,,,,
9337,670.57498,0.0424,255583.2,669.8263,670,1,-2,174,2145,0,,,No Hit,,,,,,,,,,,,,,,,,
9338,866.794,0.0529,417521,865.8262,866,1,-2,174,2145,0,,,No Hit,,,,,,,,,,,,,,,,,
9339,584.08823,0.0529,447461.98,583.4361,584,1,-5,-436,2146,0,,,No Hit,,,,,,,,,,,,,,,,,
9340,589.83858,0.0529,413238.07,589.18,590,1,-13,-180,2147,0,,,No Hit,,,,,,,,,,,,,,,,,
9341,654.33702,0.0529,235613.37,653.6064,654,1,-4,394,2148,0,,,No Hit,,,,,,,,,,,,,,,,,
9342,836.50211,0.0529,155571.89,835.5681,836,1,-4,432,2149,0,,,No Hit,,,,,,,,,,,,,,,,,
9343,848.17168,0.0529,331131.47,847.2247,848,1,-7,-225,2150,45,,N1 O2 S2 ,,C,59,H,30,N,1,O,2,S,2,,,,,,,
9344,520.12071,0.0426,575255.78,519.54,520,1,-12,460,2151,0,,,No Hit,,,,,,,,,,,,,,,,,
9345,744.37119,0.0529,227121.14,743.5401,744,1,-12,460,2151,0,,,No Hit,,,,,,,,,,,,,,,,,
9346,798.48747,0.0444,368164.79,797.5959,798,1,-14,404,2152,0,,,No Hit,,,,,,,,,,,,,,,,,
9347,812.50323,0.0459,424831.68,811.596,812,1,-14,404,2152,0,,,No Hit,,,,,,,,,,,,,,,,,
9348,826.51882,0.0427,420973.32,825.596,826,1,-14,404,2152,0,,,No Hit,,,,,,,,,,,,,,,,,
9349,840.53438,0.0428,388909.06,839.5959,840,1,-14,404,2152,0,,,No Hit,,,,,,,,,,,,,,,,,
9350,868.56557,0.0399,349872.68,867.5958,868,1,-14,404,2152,0,,,No Hit,,,,,,,,,,,,,,,,,
9351,882.58137,0.0485,377019.56,881.5959,882,1,-14,404,2152,0,,,No Hit,,,,,,,,,,,,,,,,,
9352,896.59676,0.0528,433300.15,895.5957,896,1,-14,404,2152,0,,,No Hit,,,,,,,,,,,,,,,,,
9353,613.74127,0.0528,293925.46,613.056,614,1,-3,-56,2153,0,,,No Hit,,,,,,,,,,,,,,,,,
9354,426.23077,0.0528,873108.09,425.7549,426,1,-8,245,2154,0,,,No Hit,,,,,,,,,,,,,,,,,
9355,790.31483,0.0528,343936.03,789.4324,790,1,-9,-432,2155,36,,N1 O1 S1 ,,C,57,H,44,N,1,O,1,S,1,,,,,,,
9356,362.18966,0.0528,844128.97,361.7853,362,1,-2,215,2156,0,,,No Hit,,,,,,,,,,,,,,,,,
9357,567.64532,0.0528,329874.47,567.0115,568,1,-7,-12,2157,0,,,No Hit,,,,,,,,,,,,,,,,,
9358,436.38586,0.0527,821753.61,435.8986,436,1,-12,101,2158,0,,,No Hit,,,,,,,,,,,,,,,,,
9359,346.24061,0.0527,852761.37,345.854,346,1,-4,146,2159,0,,,No Hit,,,,,,,,,,,,,,,,,
9360,241.28614,0.0527,702377.15,241.0167,242,1,-11,-17,2160,0,,,No Hit,,,,,,,,,,,,,,,,,
9361,582.32548,0.0527,548940.08,581.6753,582,1,-6,325,2161,11,,N1 O5 S1 ,,C,34,H,48,N,1,O,5,S,1,,,,,,,
9362,860.56915,0.0527,198111.88,859.6083,860,1,-8,392,2162,13,,N1 O4 S2 ,,C,53,H,82,N,1,O,4,S,2,,,,,,,
9363,485.8767,0.0527,790720.19,485.3342,486,1,-5,-334,2163,0,,,No Hit,,,,,,,,,,,,,,,,,
9364,780.20538,0.0412,254277.08,779.3342,780,1,-5,-334,2163,0,,,No Hit,,,,,,,,,,,,,,,,,
9365,544.28571,0.0414,777590.64,543.678,544,1,-2,322,2164,19,,N1 O3 ,,C,37,H,38,N,1,O,3,,,,,,,,,
9366,628.37956,0.0527,585341.59,627.6779,628,1,-2,322,2164,19,,N1 O3 ,,C,43,H,50,N,1,O,3,,,,,,,,,
9367,656.41078,0.0458,500786.47,655.6779,656,1,-2,322,2164,19,,N1 O3 ,,C,45,H,54,N,1,O,3,,,,,,,,,
9368,670.42653,0.0431,479956.39,669.678,670,1,-2,322,2164,19,,N1 O3 ,,C,46,H,56,N,1,O,3,,,,,,,,,
9369,684.44229,0.0444,544243.39,683.6781,684,1,-2,322,2164,19,,N1 O3 ,,C,47,H,58,N,1,O,3,,,,,,,,,
9370,698.45781,0.0495,225412.44,697.6779,698,1,-2,322,2164,19,,N1 O3 ,,C,48,H,60,N,1,O,3,,,,,,,,,
9371,712.47357,0.0471,207729.4,711.6781,712,1,-2,322,2164,19,,N1 O3 ,,C,49,H,62,N,1,O,3,,,,,,,,,
9372,726.48917,0.0384,204132.99,725.678,726,1,-2,322,2164,19,,N1 O3 ,,C,50,H,64,N,1,O,3,,,,,,,,,
9373,678.02679,0.0527,512185.16,677.2697,678,1,-9,-270,2165,40,,N1 O3 S2 ,,C,45,H,12,N,1,O,3,S,2,,,,,,,
9374,636.39866,0.0527,315213.8,635.6881,636,1,-8,312,2166,0,,,No Hit,,,,,,,,,,,,,,,,,
9375,650.09436,0.0526,491761,649.3685,650,1,-9,-369,2167,0,,,No Hit,,,,,,,,,,,,,,,,,
9376,702.49932,0.0526,446980.59,701.7149,702,1,-12,285,2168,2,,N1 O3 S3 ,,C,39,H,76,N,1,O,3,S,3,,,,,,,
9377,629.7313,0.0526,101077.84,629.0282,630,1,-1,-28,2169,0,,,No Hit,,,,,,,,,,,,,,,,,
9378,236.19858,0.0526,1505733.85,235.9349,236,1,-2,65,2170,0,,,No Hit,,,,,,,,,,,,,,,,,
9379,842.54199,0.0526,386868.71,841.6013,842,1,-12,399,2171,0,,,No Hit,,,,,,,,,,,,,,,,,
9380,539.73832,0.0526,743596.35,539.1357,540,1,-7,-136,2172,0,,,No Hit,,,,,,,,,,,,,,,,,
9381,632.23445,0.0526,283500.7,631.5285,632,1,-12,471,2173,0,,,No Hit,,,,,,,,,,,,,,,,,
9382,438.31404,0.0525,699897.35,437.8246,438,1,-10,175,2174,0,,,No Hit,,,,,,,,,,,,,,,,,
9383,866.70026,0.0525,744087.46,865.7325,866,1,-2,267,2175,0,,,No Hit,,,,,,,,,,,,,,,,,
9384,583.74206,0.0525,265864.69,583.0903,584,1,-5,-90,2176,0,,,No Hit,,,,,,,,,,,,,,,,,
9385,538.52544,0.0525,934172.55,537.9241,538,1,-8,76,2177,0,,,No Hit,,,,,,,,,,,,,,,,,
9386,434.28279,0.0525,676160.48,433.7979,434,1,-14,202,2178,0,,,No Hit,,,,,,,,,,,,,,,,,
9387,668.74234,0.0525,665441.02,667.9957,668,1,-4,4,2179,0,,,No Hit,,,,,,,,,,,,,,,,,
9388,651.83613,0.0525,327790.69,651.1083,652,1,-7,-108,2180,0,,,No Hit,,,,,,,,,,,,,,,,,
9389,636.3573,0.0525,235239.14,635.6468,636,1,-8,353,2181,0,,,No Hit,,,,,,,,,,,,,,,,,
9390,515.69324,0.0524,591002.42,515.1174,516,1,-3,-117,2182,0,,,No Hit,,,,,,,,,,,,,,,,,
9391,782.56469,0.0524,445308.49,781.6909,782,1,-2,309,2183,0,,,No Hit,,,,,,,,,,,,,,,,,
9392,668.72391,0.0524,157088.63,667.9772,668,1,-4,23,2184,0,,,No Hit,,,,,,,,,,,,,,,,,
9393,894.48536,0.0524,395293.06,893.4866,894,1,-3,-487,2185,0,,,No Hit,,,,,,,,,,,,,,,,,
9394,480.11685,0.0447,198854.49,479.5808,480,1,-10,419,2186,0,,,No Hit,,,,,,,,,,,,,,,,,
9395,760.4298,0.0524,442824.61,759.5807,760,1,-10,419,2186,0,,,No Hit,,,,,,,,,,,,,,,,,
9396,764.04554,0.0523,286468.35,763.1924,764,1,-7,-193,2187,41,,N1 O3 S3 ,,C,49,H,18,N,1,O,3,S,3,,,,,,,
9397,458.01723,0.0523,796112.66,457.5058,458,1,-4,494,2188,0,,,No Hit,,,,,,,,,,,,,,,,,
9398,592.26258,0.0523,190338.87,591.6013,592,1,-10,399,2189,0,,,No Hit,,,,,,,,,,,,,,,,,
9399,790.30449,0.0523,181457.65,789.4221,790,1,-9,-422,2190,0,,,No Hit,,,,,,,,,,,,,,,,,
9400,782.49804,0.0523,387966.98,781.6243,782,1,-2,376,2191,20,,N1 O2 S1 ,,C,53,H,68,N,1,O,2,S,1,,,,,,,
9401,854.48756,0.0523,190355.08,853.5335,854,1,-14,466,2192,0,,,No Hit,,,,,,,,,,,,,,,,,
9402,658.48237,0.044,668773.23,657.7471,658,1,-14,253,2193,0,,,No Hit,,,,,,,,,,,,,,,,,
9403,686.5135,0.0523,609207.82,685.747,686,1,-14,253,2193,0,,,No Hit,,,,,,,,,,,,,,,,,
9404,728.56066,0.0421,526727.7,727.7472,728,1,-14,253,2193,0,,,No Hit,,,,,,,,,,,,,,,,,
9405,742.57637,0.0458,474345.51,741.7472,742,1,-14,253,2193,0,,,No Hit,,,,,,,,,,,,,,,,,
9406,626.41961,0.0427,560896.98,625.7202,626,1,-4,280,2194,0,,,No Hit,,,,,,,,,,,,,,,,,
9407,668.46671,0.0379,607286.73,667.7203,668,1,-4,280,2194,0,,,No Hit,,,,,,,,,,,,,,,,,
9408,724.52943,0.0492,501495.26,723.7205,724,1,-4,279,2194,0,,,No Hit,,,,,,,,,,,,,,,,,
9409,738.54494,0.0424,508014.33,737.7203,738,1,-4,280,2194,0,,,No Hit,,,,,,,,,,,,,,,,,
9410,752.56054,0.045,360483.43,751.7203,752,1,-4,280,2194,0,,,No Hit,,,,,,,,,,,,,,,,,
9411,766.57623,0.0522,490065.52,765.7203,766,1,-4,280,2194,0,,,No Hit,,,,,,,,,,,,,,,,,
9412,794.60757,0.0438,515930.08,793.7203,794,1,-4,280,2194,0,,,No Hit,,,,,,,,,,,,,,,,,
9413,822.6387,0.0458,249985.01,821.7202,822,1,-4,280,2194,0,,,No Hit,,,,,,,,,,,,,,,,,
9414,292.10137,0.0522,1441937.11,291.7752,292,1,-2,225,2195,7,,N1 O3 S1 ,,C,15,H,18,N,1,O,3,S,1,,,,,,,
9415,400.2988,0.0521,960811.58,399.8518,400,1,-6,148,2196,0,,,No Hit,,,,,,,,,,,,,,,,,
9416,587.93901,0.0521,166367.63,587.2825,588,1,-1,-283,2197,0,,,No Hit,,,,,,,,,,,,,,,,,
9417,758.29034,0.0521,471984.91,757.4437,758,1,-13,-444,2198,0,,,No Hit,,,,,,,,,,,,,,,,,
9418,270.172,0.0521,1340453.89,269.8703,270,1,-10,130,2199,0,,,No Hit,,,,,,,,,,,,,,,,,
9419,680.56863,0.0521,578324.12,679.8087,680,1,-6,191,2200,0,,,No Hit,,,,,,,,,,,,,,,,,
9420,736.63145,0.0472,524821.21,735.809,736,1,-6,191,2200,0,,,No Hit,,,,,,,,,,,,,,,,,
9421,904.81922,0.0434,343012.64,903.8089,904,1,-6,191,2200,0,,,No Hit,,,,,,,,,,,,,,,,,
9422,629.76359,0.0521,656396.95,629.0604,630,1,-1,-60,2201,0,,,No Hit,,,,,,,,,,,,,,,,,
9423,486.25196,0.052,825747.45,485.709,486,1,-4,291,2202,0,,,No Hit,,,,,,,,,,,,,,,,,
9424,548.23978,0.052,235457.72,547.6276,548,1,-12,372,2203,0,,,No Hit,,,,,,,,,,,,,,,,,
9425,330.22413,0.0499,1092837.39,329.8554,330,1,-6,145,2204,0,,,No Hit,,,,,,,,,,,,,,,,,
9426,554.47444,0.052,155065.49,553.8553,554,1,-6,145,2204,0,,,No Hit,,,,,,,,,,,,,,,,,
9427,554.4873,0.052,634301.12,553.8682,554,1,-6,132,2205,0,,,No Hit,,,,,,,,,,,,,,,,,
9428,908.33886,0.052,345620.6,907.3246,908,1,-3,-325,2206,42,,N1 O5 ,*,C,64,H,46,N,1,O,5,,,,,,,,,
9429,770.29433,0.052,135539.72,769.4343,770,1,-1,-434,2207,29,,N1 O5 S1 ,,C,50,H,44,N,1,O,5,S,1,,,,,,,
9430,269.67385,0.052,712469.73,269.3727,270,1,-11,-373,2208,0,,,No Hit,,,,,,,,,,,,,,,,,
9431,654.26256,0.052,562315.44,653.532,654,1,-4,468,2209,0,,,No Hit,,,,,,,,,,,,,,,,,
9432,782.67396,0.0485,69518.77,781.8001,782,1,-2,200,2210,0,,,No Hit,,,,,,,,,,,,,,,,,
9433,894.79899,0.052,439685.69,893.7999,894,1,-2,200,2210,0,,,No Hit,,,,,,,,,,,,,,,,,
9434,476.01339,0.052,439513.36,475.4819,476,1,-1,-482,2211,0,,,No Hit,,,,,,,,,,,,,,,,,
9435,346.24418,0.052,230638.1,345.8576,346,1,-4,142,2212,0,,,No Hit,,,,,,,,,,,,,,,,,
9436,755.9511,0.052,507808.26,755.107,756,1,-1,-107,2213,0,,,No Hit,,,,,,,,,,,,,,,,,
9437,614.05225,0.052,266018.27,613.3666,614,1,-3,-367,2214,31,,N1 O4 S2 ,,C,38,H,16,N,1,O,4,S,2,,,,,,,
9438,894.66541,0.052,318110.22,893.6665,894,1,-2,333,2215,10,,N1 O6 S1 ,*,C,55,H,92,N,1,O,6,S,1,,,,,,,
9439,458.41858,0.052,776850.61,457.9067,458,1,-4,93,2216,0,,,No Hit,,,,,,,,,,,,,,,,,
9440,574.10621,0.0519,329775.1,573.4652,574,1,-1,-465,2217,0,,,No Hit,,,,,,,,,,,,,,,,,
9441,770.32547,0.0502,48555.47,769.4654,770,1,-1,-465,2217,0,,,No Hit,,,,,,,,,,,,,,,,,
9442,654.38566,0.0519,365543.76,653.655,654,1,-4,345,2218,0,,,No Hit,,,,,,,,,,,,,,,,,
9443,566.08403,0.0519,856060.29,565.452,566,1,-9,-452,2219,0,,,No Hit,,,,,,,,,,,,,,,,,
9444,726.21477,0.0519,604999.77,725.4039,726,1,-3,-404,2220,30,,N1 O3 S2 ,,C,47,H,36,N,1,O,3,S,2,,,,,,,
9445,912.57434,0.0518,184664.2,911.5554,912,1,-12,445,2221,0,,,No Hit,,,,,,,,,,,,,,,,,
9446,814.51893,0.0513,274618.74,813.6095,814,1,-12,390,2222,0,,,No Hit,,,,,,,,,,,,,,,,,
9447,856.56581,0.0439,234136.57,855.6094,856,1,-12,391,2222,0,,,No Hit,,,,,,,,,,,,,,,,,
9448,884.59719,0.0518,404009.71,883.6095,884,1,-12,390,2222,0,,,No Hit,,,,,,,,,,,,,,,,,
9449,448.29825,0.0427,619594.81,447.7977,448,1,-14,202,2223,0,,,No Hit,,,,,,,,,,,,,,,,,
9450,728.61116,0.0415,741851.42,727.7976,728,1,-14,202,2223,0,,,No Hit,,,,,,,,,,,,,,,,,
9451,742.62678,0.0426,572041.96,741.7976,742,1,-14,202,2223,0,,,No Hit,,,,,,,,,,,,,,,,,
9452,756.64233,0.0518,547955.66,755.7975,756,1,-14,202,2223,0,,,No Hit,,,,,,,,,,,,,,,,,
9453,726.54492,0.0434,589519.59,725.7337,726,1,-2,266,2224,0,,,No Hit,,,,,,,,,,,,,,,,,
9454,740.56069,0.0416,202335.02,739.7338,740,1,-2,266,2224,0,,,No Hit,,,,,,,,,,,,,,,,,
9455,782.60775,0.0488,463139.61,781.7339,782,1,-2,266,2224,0,,,No Hit,,,,,,,,,,,,,,,,,
9456,894.7329,0.0518,165822.8,893.7339,894,1,-2,266,2224,0,,,No Hit,,,,,,,,,,,,,,,,,
9457,604.01364,0.0518,508437.42,603.3392,604,1,-13,-339,2225,30,,N1 O3 S3 ,,C,36,H,14,N,1,O,3,S,3,,,,,,,
9458,854.47824,0.0518,127743.89,853.5242,854,1,-14,476,2226,27,,N1 O5 ,,C,58,H,64,N,1,O,5,,,,,,,,,
9459,614.02151,0.0518,474748.87,613.3359,614,1,-3,-336,2227,0,,,No Hit,,,,,,,,,,,,,,,,,
9460,842.24484,0.0518,427977.05,841.3044,842,1,-13,-305,2228,0,,,No Hit,,,,,,,,,,,,,,,,,
9461,630.62205,0.0518,198149.44,629.9179,630,1,-14,82,2229,0,,,No Hit,,,,,,,,,,,,,,,,,
9462,199.32502,0.0518,837020.26,199.1025,200,1,-11,-102,2230,0,,,No Hit,,,,,,,,,,,,,,,,,
9463,316.23702,0.0518,1259271.26,315.8839,316,1,-6,116,2231,0,,,No Hit,,,,,,,,,,,,,,,,,
9464,587.94027,0.0517,165908.99,587.2838,588,1,-1,-284,2232,0,,,No Hit,,,,,,,,,,,,,,,,,
9465,894.97536,0.0517,339470.68,893.9761,894,1,-2,24,2233,0,,,No Hit,,,,,,,,,,,,,,,,,
9466,512.46579,0.0517,649511.61,511.8936,512,1,-6,106,2234,0,,,No Hit,,,,,,,,,,,,,,,,,
9467,533.78691,0.0517,784003.45,533.1909,534,1,-13,-191,2235,0,,,No Hit,,,,,,,,,,,,,,,,,
9468,633.88555,0.0517,131367.5,633.1778,634,1,-11,-178,2236,0,,,No Hit,,,,,,,,,,,,,,,,,
9469,613.73634,0.0517,739081.85,613.0511,614,1,-3,-51,2237,0,,,No Hit,,,,,,,,,,,,,,,,,
9470,617.7898,0.0517,526552.41,617.1,618,1,-13,-100,2238,0,,,No Hit,,,,,,,,,,,,,,,,,
9471,746.5537,0.0517,128901.77,745.7201,746,1,-10,280,2239,0,,,No Hit,,,,,,,,,,,,,,,,,
9472,554.61502,0.0517,664018.85,553.9958,554,1,-6,4,2240,0,,,No Hit,,,,,,,,,,,,,,,,,
9473,836.49922,0.0517,247177.47,835.5652,836,1,-4,435,2241,8,,N1 O6 S3 ,,C,46,H,78,N,1,O,6,S,3,,,,,,,
9474,530.32095,0.0516,834884.76,529.7288,530,1,-2,271,2242,0,,,No Hit,,,,,,,,,,,,,,,,,
9475,836.49792,0.0516,247170.52,835.5639,836,1,-4,436,2243,0,,,No Hit,,,,,,,,,,,,,,,,,
9476,515.72401,0.0516,1104771.01,515.1482,516,1,-3,-148,2244,0,,,No Hit,,,,,,,,,,,,,,,,,
9477,618.32001,0.0516,642733.76,617.6296,618,1,-12,370,2245,23,,N1 S1 ,,C,44,H,44,N,1,,,S,1,,,,,,,
9478,169.79628,0.0411,1054139.06,169.6067,170,1,-12,393,2246,0,,,No Hit,,,,,,,,,,,,,,,,,
9479,548.21885,0.0516,293979.49,547.6067,548,1,-12,393,2246,0,,,No Hit,,,,,,,,,,,,,,,,,
9480,782.6798,0.0516,69763.72,781.8059,782,1,-2,194,2247,0,,,No Hit,,,,,,,,,,,,,,,,,
9481,850.71483,0.0516,430749.46,849.765,850,1,-4,235,2248,3,,N1 O3 S2 ,,C,52,H,100,N,1,O,3,S,2,,,,,,,
9482,483.93052,0.0516,374011.3,483.3902,484,1,-7,-390,2249,0,,,No Hit,,,,,,,,,,,,,,,,,
9483,748.64583,0.0516,133205.79,747.8099,748,1,-8,190,2250,4,,N1 O6 ,,C,46,H,86,N,1,O,6,,,,,,,,,
9484,746.68762,0.0515,193910.56,745.8539,746,1,-10,146,2251,0,,,No Hit,,,,,,,,,,,,,,,,,
9485,418.21378,0.0515,928682.73,417.7468,418,1,-2,253,2252,0,,,No Hit,,,,,,,,,,,,,,,,,
9486,638.02985,0.0514,629877.8,637.3175,638,1,-7,-318,2253,0,,,No Hit,,,,,,,,,,,,,,,,,
9487,518.25412,0.0514,668619.24,517.6755,518,1,-14,324,2254,0,,,No Hit,,,,,,,,,,,,,,,,,
9488,866.23097,0.0514,346093.46,865.2638,866,1,-3,-264,2255,0,,,No Hit,,,,,,,,,,,,,,,,,
9489,792.82248,0.0514,508246.59,791.9372,792,1,-6,63,2256,0,,,No Hit,,,,,,,,,,,,,,,,,
9490,668.74405,0.0514,637645,667.9974,668,1,-4,3,2257,0,,,No Hit,,,,,,,,,,,,,,,,,
9491,798.13113,0.0514,180958.85,797.24,798,1,-1,-240,2258,0,,,No Hit,,,,,,,,,,,,,,,,,
9492,671.75363,0.0514,629135.79,671.0036,672,1,-1,-4,2259,0,,,No Hit,,,,,,,,,,,,,,,,,
9493,584.10682,0.0513,740187.03,583.4546,584,1,-5,-455,2260,0,,,No Hit,,,,,,,,,,,,,,,,,
9494,854.45088,0.0513,153090.24,853.4968,854,1,-1,-497,2261,0,,,No Hit,,,,,,,,,,,,,,,,,
9495,808.64647,0.0513,432816.69,807.7436,808,1,-4,256,2262,9,,N1 O6 ,*,C,51,H,86,N,1,O,6,,,,,,,,,
9496,527.99342,0.0395,652062.83,527.4039,528,1,-5,-404,2263,36,,N1 O5 ,,C,36,H,2,N,1,O,5,,,,,,,,,
9497,598.07169,0.0513,230322.42,597.4039,598,1,-5,-404,2263,36,,N1 O5 ,,C,41,H,12,N,1,O,5,,,,,,,,,
9498,892.35759,0.0513,121353.34,891.3612,892,1,-5,-361,2264,0,,,No Hit,,,,,,,,,,,,,,,,,
9499,390.22067,0.0513,742909.71,389.785,390,1,-2,215,2265,0,,,No Hit,,,,,,,,,,,,,,,,,
9500,533.79657,0.0513,279382.72,533.2006,534,1,-13,-201,2266,0,,,No Hit,,,,,,,,,,,,,,,,,
9501,598.08052,0.0513,122060.94,597.4127,598,1,-5,-413,2267,0,,,No Hit,,,,,,,,,,,,,,,,,
9502,524.58468,0.0512,688522.09,523.999,524,1,-8,1,2268,0,,,No Hit,,,,,,,,,,,,,,,,,
9503,882.68277,0.0512,257308.21,881.6972,882,1,-14,303,2269,0,,,No Hit,,,,,,,,,,,,,,,,,
9504,322.20234,0.0512,1242074.68,321.8426,322,1,-14,157,2270,5,,N1 O4 ,,C,18,H,28,N,1,O,4,,,,,,,,,
9505,406.29624,0.0385,875270.84,405.8426,406,1,-14,157,2270,5,,N1 O4 ,,C,24,H,40,N,1,O,4,,,,,,,,,
9506,420.31186,0.0384,937351.65,419.8426,420,1,-14,157,2270,5,,N1 O4 ,,C,25,H,42,N,1,O,4,,,,,,,,,
9507,437.78664,0.0512,824559.69,437.2978,438,1,-11,-298,2271,0,,,No Hit,,,,,,,,,,,,,,,,,
9508,836.74786,0.0512,301928.65,835.8136,836,1,-4,186,2272,0,,,No Hit,,,,,,,,,,,,,,,,,
9509,457.54872,0.0512,181562.44,457.0378,458,1,-5,-38,2273,0,,,No Hit,,,,,,,,,,,,,,,,,
9510,721.89683,0.0512,576481.73,721.0908,722,1,-7,-91,2274,0,,,No Hit,,,,,,,,,,,,,,,,,
9511,241.27878,0.0512,233237.2,241.0094,242,1,-11,-9,2275,0,,,No Hit,,,,,,,,,,,,,,,,,
9512,352.20866,0.0512,1066844,351.8154,352,1,-12,185,2276,0,,,No Hit,,,,,,,,,,,,,,,,,
9513,380.24005,0.0452,1115729.79,379.8155,380,1,-12,184,2276,0,,,No Hit,,,,,,,,,,,,,,,,,
9514,169.79367,0.0512,2384303.14,169.6041,170,1,-12,396,2277,0,,,No Hit,,,,,,,,,,,,,,,,,
9515,772.57622,0.0512,497245.89,771.7136,772,1,-12,286,2278,0,,,No Hit,,,,,,,,,,,,,,,,,
9516,567.68625,0.0511,383832.62,567.0524,568,1,-7,-52,2279,0,,,No Hit,,,,,,,,,,,,,,,,,
9517,362.22509,0.0511,1180907.1,361.8207,362,1,-2,179,2280,0,,,No Hit,,,,,,,,,,,,,,,,,
9518,628.14407,0.0511,489768.58,627.4427,628,1,-3,-443,2281,24,,N1 O2 S3 ,,C,38,H,30,N,1,O,2,S,3,,,,,,,
9519,629.74786,0.0511,512920.09,629.0447,630,1,-1,-45,2282,0,,,No Hit,,,,,,,,,,,,,,,,,
9520,278.24895,0.0511,1459182.03,277.9383,278,1,-2,62,2283,3,,N1 O1 ,,C,18,H,32,N,1,O,1,,,,,,,,,
9521,544.54634,0.0464,519164.65,543.9383,544,1,-2,62,2283,3,,N1 O1 ,,C,37,H,70,N,1,O,1,,,,,,,,,
9522,652.571,0.0511,275875.26,651.8424,652,1,-6,158,2284,2,,N1 O3 S1 ,,C,40,H,78,N,1,O,3,S,1,,,,,,,
9523,424.06638,0.051,730455.66,423.5929,424,1,-10,407,2285,0,,,No Hit,,,,,,,,,,,,,,,,,
9524,530.30007,0.051,309951.74,529.708,530,1,-2,292,2286,0,,,No Hit,,,,,,,,,,,,,,,,,
9525,715.93516,0.051,174106.88,715.1358,716,1,-13,-136,2287,0,,,No Hit,,,,,,,,,,,,,,,,,
9526,580.36665,0.051,708224.54,579.7186,580,1,-8,281,2288,0,,,No Hit,,,,,,,,,,,,,,,,,
9527,790.60142,0.0466,452073.26,789.7187,790,1,-8,281,2288,0,,,No Hit,,,,,,,,,,,,,,,,,
9528,804.61711,0.0465,429280.87,803.7187,804,1,-8,281,2288,0,,,No Hit,,,,,,,,,,,,,,,,,
9529,473.57027,0.051,154046.95,473.0415,474,1,-3,-42,2289,0,,,No Hit,,,,,,,,,,,,,,,,,
