There were 22762 Peaks found from m/z=   168.97    to m/z=   914.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE ION MODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise threshold: 0.011372        Peak threshold: 0.016245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration parameters: A = 144218504.692816 , B = -434117778.324974 and Trap Plate Voltage = -1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center of Mass for the Assigned Window is   497.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 There were ,11328 odd peaks, and ,11434 even peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula,,,,,,,,,,,,,,,,,
102,760.6766,1.0755,525305.42,759.8273,760,1,-10,173,4,13,,N1 ,,C,55,H,86,N,1,,,,,,,,,,,
103,774.69227,0.9336,519499.9,773.8273,774,1,-10,173,4,13,,N1 ,,C,56,H,88,N,1,,,,,,,,,,,
104,788.70791,0.8717,510367.32,787.8273,788,1,-10,173,4,13,,N1 ,,C,57,H,90,N,1,,,,,,,,,,,
105,802.72358,0.8374,501132.41,801.8273,802,1,-10,173,4,13,,N1 ,,C,58,H,92,N,1,,,,,,,,,,,
106,816.73921,0.692,486714.32,815.8273,816,1,-10,173,4,13,,N1 ,,C,59,H,94,N,1,,,,,,,,,,,
107,830.75476,0.5046,422482.84,829.8272,830,1,-10,173,4,13,,N1 ,,C,60,H,96,N,1,,,,,,,,,,,
108,844.77051,0.4246,472089.97,843.8273,844,1,-10,173,4,13,,N1 ,,C,61,H,98,N,1,,,,,,,,,,,
109,858.78616,0.386,462578.79,857.8273,858,1,-10,173,4,13,,N1 ,,C,62,H,100,N,1,,,,,,,,,,,
110,872.80174,0.3642,451434.22,871.8272,872,1,-10,173,4,13,,N1 ,,C,63,H,102,N,1,,,,,,,,,,,
111,886.8174,0.3353,450356.85,885.8272,886,1,-10,173,4,13,,N1 ,,C,64,H,104,N,1,,,,,,,,,,,
112,900.83303,0.3271,446696.99,899.8272,900,1,-10,173,4,13,,N1 ,,C,65,H,106,N,1,,,,,,,,,,,
113,220.11326,0.0816,1739078.01,219.8675,220,1,-4,132,5,10,,N1 ,,C,16,H,14,N,1,,,,,,,,,,,
114,234.12889,0.3899,1766986.74,233.8675,234,1,-4,133,5,10,,N1 ,,C,17,H,16,N,1,,,,,,,,,,,
115,248.14452,1.472,1647898.18,247.8675,248,1,-4,133,5,10,,N1 ,,C,18,H,18,N,1,,,,,,,,,,,
116,262.16016,3.2442,1533979.94,261.8674,262,1,-4,133,5,10,,N1 ,,C,19,H,20,N,1,,,,,,,,,,,
117,276.1758,6.5422,1455868.9,275.8674,276,1,-4,133,5,10,,N1 ,,C,20,H,22,N,1,,,,,,,,,,,
118,290.19144,10.5779,1389315.04,289.8674,290,1,-4,133,5,10,,N1 ,,C,21,H,24,N,1,,,,,,,,,,,
119,304.20707,13.225,1348099.54,303.8674,304,1,-4,133,5,10,,N1 ,,C,22,H,26,N,1,,,,,,,,,,,
120,318.22271,13.4345,1314268.77,317.8674,318,1,-4,133,5,10,,N1 ,,C,23,H,28,N,1,,,,,,,,,,,
121,332.23834,13.9712,1255451.65,331.8674,332,1,-4,133,5,10,,N1 ,,C,24,H,30,N,1,,,,,,,,,,,
122,346.25398,14.377,1190548.92,345.8674,346,1,-4,133,5,10,,N1 ,,C,25,H,32,N,1,,,,,,,,,,,
123,360.26962,16.6471,1136547.6,359.8674,360,1,-4,133,5,10,,N1 ,,C,26,H,34,N,1,,,,,,,,,,,
124,374.28525,19.524,1093110.84,373.8673,374,1,-4,133,5,10,,N1 ,,C,27,H,36,N,1,,,,,,,,,,,
125,402.31655,14.6022,1014764.76,401.8673,402,1,-4,133,5,10,,N1 ,,C,29,H,40,N,1,,,,,,,,,,,
126,416.3322,15.3966,983370.59,415.8673,416,1,-4,133,5,10,,N1 ,,C,30,H,42,N,1,,,,,,,,,,,
127,430.34785,14.4529,949700.94,429.8673,430,1,-4,133,5,10,,N1 ,,C,31,H,44,N,1,,,,,,,,,,,
128,444.36352,10.7842,925248.25,443.8674,444,1,-4,133,5,10,,N1 ,,C,32,H,46,N,1,,,,,,,,,,,
129,458.37916,11.9934,892215.96,457.8674,458,1,-4,133,5,10,,N1 ,,C,33,H,48,N,1,,,,,,,,,,,
130,472.39483,9.0048,870409.29,471.8674,472,1,-4,133,5,10,,N1 ,,C,34,H,50,N,1,,,,,,,,,,,
131,486.41047,8.967,836368.9,485.8674,486,1,-4,133,5,10,,N1 ,,C,35,H,52,N,1,,,,,,,,,,,
132,500.42614,7.7542,812805,499.8674,500,1,-4,133,5,10,,N1 ,,C,36,H,54,N,1,,,,,,,,,,,
133,514.44179,7.7213,790536.99,513.8674,514,1,-4,133,5,10,,N1 ,,C,37,H,56,N,1,,,,,,,,,,,
134,528.45745,5.9805,767463.77,527.8674,528,1,-4,133,5,10,,N1 ,,C,38,H,58,N,1,,,,,,,,,,,
135,542.4731,5.7789,739512.3,541.8674,542,1,-4,133,5,10,,N1 ,,C,39,H,60,N,1,,,,,,,,,,,
136,556.48877,4.9223,726058.08,555.8674,556,1,-4,133,5,10,,N1 ,,C,40,H,62,N,1,,,,,,,,,,,
137,570.50442,4.2964,708437.43,569.8674,570,1,-4,133,5,10,,N1 ,,C,41,H,64,N,1,,,,,,,,,,,
138,584.5201,3.6624,696737.18,583.8675,584,1,-4,132,5,10,,N1 ,,C,42,H,66,N,1,,,,,,,,,,,
139,598.53574,3.526,683818.66,597.8674,598,1,-4,132,5,10,,N1 ,,C,43,H,68,N,1,,,,,,,,,,,
140,612.5514,3.0022,665444.85,611.8675,612,1,-4,132,5,10,,N1 ,,C,44,H,70,N,1,,,,,,,,,,,
141,626.56705,2.523,645379.34,625.8675,626,1,-4,132,5,10,,N1 ,,C,45,H,72,N,1,,,,,,,,,,,
142,640.58272,1.9825,616498.04,639.8675,640,1,-4,132,5,10,,N1 ,,C,46,H,74,N,1,,,,,,,,,,,
143,654.59837,2.0685,618494.39,653.8675,654,1,-4,132,5,10,,N1 ,,C,47,H,76,N,1,,,,,,,,,,,
144,668.61403,1.8381,621289.86,667.8675,668,1,-4,132,5,10,,N1 ,,C,48,H,78,N,1,,,,,,,,,,,
145,682.62966,1.5555,587777.33,681.8675,682,1,-4,132,5,10,,N1 ,,C,49,H,80,N,1,,,,,,,,,,,
146,696.64533,1.2198,582148.26,695.8675,696,1,-4,132,5,10,,N1 ,,C,50,H,82,N,1,,,,,,,,,,,
147,710.66099,1.0858,557727.07,709.8675,710,1,-4,132,5,10,,N1 ,,C,51,H,84,N,1,,,,,,,,,,,
148,724.67664,1.1043,554128.67,723.8675,724,1,-4,132,5,10,,N1 ,,C,52,H,86,N,1,,,,,,,,,,,
149,738.69229,1.0484,548415.28,737.8675,738,1,-4,132,5,10,,N1 ,,C,53,H,88,N,1,,,,,,,,,,,
150,752.70793,0.9701,538942.98,751.8675,752,1,-4,132,5,10,,N1 ,,C,54,H,90,N,1,,,,,,,,,,,
151,766.72358,0.7722,527433.8,765.8675,766,1,-4,132,5,10,,N1 ,,C,55,H,92,N,1,,,,,,,,,,,
152,780.73925,0.6471,520839.38,779.8675,780,1,-4,132,5,10,,N1 ,,C,56,H,94,N,1,,,,,,,,,,,
153,794.75487,0.6083,506495.8,793.8675,794,1,-4,132,5,10,,N1 ,,C,57,H,96,N,1,,,,,,,,,,,
154,808.77049,0.5455,490332.93,807.8675,808,1,-4,132,5,10,,N1 ,,C,58,H,98,N,1,,,,,,,,,,,
155,822.78616,0.4379,504758.2,821.8675,822,1,-4,132,5,10,,N1 ,,C,59,H,100,N,1,,,,,,,,,,,
156,836.80169,0.2996,493491.11,835.8674,836,1,-4,133,5,10,,N1 ,,C,60,H,102,N,1,,,,,,,,,,,
157,850.81744,0.3036,467120.11,849.8675,850,1,-4,132,5,10,,N1 ,,C,61,H,104,N,1,,,,,,,,,,,
158,864.83307,0.2621,458589.03,863.8674,864,1,-4,132,5,10,,N1 ,,C,62,H,106,N,1,,,,,,,,,,,
159,878.84874,0.2323,458864.58,877.8675,878,1,-4,132,5,10,,N1 ,,C,63,H,108,N,1,,,,,,,,,,,
160,892.86435,0.237,444803.91,891.8674,892,1,-4,132,5,10,,N1 ,,C,64,H,110,N,1,,,,,,,,,,,
161,906.88003,0.1923,456612.35,905.8675,906,1,-4,132,5,10,,N1 ,,C,65,H,112,N,1,,,,,,,,,,,
162,194.09762,0.1787,2026584.5,193.8809,194,1,-2,119,6,9,,N1 ,,C,14,H,12,N,1,,,,,,,,,,,
163,208.11326,0.8862,1958619.29,207.8809,208,1,-2,119,6,9,,N1 ,,C,15,H,14,N,1,,,,,,,,,,,
